    log(age)        CN_1        CN_2      Ca4227       G4300      Fe4383      Ca4455      Fe4531      Fe4668      H_beta      Fe5015        Mg_1        Mg_2        Mg_b      Fe5270      Fe5335      Fe5406      Fe5709      Fe5782        Na_D       TiO_1       TiO_2    Hdelta_A    Hgamma_A    Hdelta_F    Hgamma_F      Ca8498      Ca8542      Ca8662        MgUV       D4000
  9.3000e+00  1.6581e+00  1.7909e+00  1.0358e+00  4.1391e+00  3.2048e+00  1.1344e+00  4.7682e+00  1.7980e+00  2.7862e+00  5.3509e+00  2.0854e+00  2.6798e+00  3.2726e+00  2.5378e+00  2.2188e+00  1.7477e+00  1.1371e+00  7.0051e-01  1.4040e+00  1.5867e+00  1.4595e+00  1.2088e+00 -4.8685e-01  1.8307e+00  1.3654e+00  1.4136e+00  3.8006e+00  2.9644e+00  2.2344e+01  1.5402e+00
  9.4000e+00  1.6932e+00  1.8269e+00  1.3546e+00  5.2492e+00  3.9913e+00  1.3505e+00  5.3305e+00  2.2139e+00  2.0895e+00  6.0022e+00  2.1075e+00  2.7141e+00  3.7009e+00  2.8778e+00  2.5276e+00  2.0299e+00  1.2704e+00  8.2969e-01  1.6317e+00  1.5832e+00  1.4578e+00 -5.0010e-01 -2.7229e+00  8.4280e-01  1.1976e-01  1.4194e+00  3.8325e+00  2.9522e+00  2.4520e+01  1.6859e+00
  9.5000e+00  1.7041e+00  1.8368e+00  1.4738e+00  5.7814e+00  4.2613e+00  1.4165e+00  5.4688e+00  2.3114e+00  1.8646e+00  6.1226e+00  2.1118e+00  2.7221e+00  3.8535e+00  2.9543e+00  2.5653e+00  2.0673e+00  1.2804e+00  8.3579e-01  1.6852e+00  1.5822e+00  1.4561e+00 -1.2753e+00 -3.7462e+00  4.0277e-01 -4.4269e-01  1.3918e+00  3.7790e+00  2.9060e+00  2.6378e+01  1.7538e+00
  9.6000e+00  1.7083e+00  1.8379e+00  1.4648e+00  6.2078e+00  4.3486e+00  1.3988e+00  5.4000e+00  2.2580e+00  1.7832e+00  5.9730e+00  2.1003e+00  2.7055e+00  3.7945e+00  2.8739e+00  2.4343e+00  1.9687e+00  1.2232e+00  7.9516e-01  1.5175e+00  1.5690e+00  1.4335e+00 -1.8108e+00 -4.3282e+00  9.1964e-02 -7.7789e-01  1.3326e+00  3.6301e+00  2.7811e+00  2.7797e+01  1.8033e+00
  9.7000e+00  1.7248e+00  1.8574e+00  1.7514e+00  6.6632e+00  4.8041e+00  1.5511e+00  5.7259e+00  2.4482e+00  1.4469e+00  6.2743e+00  2.1232e+00  2.7406e+00  4.1494e+00  3.1174e+00  2.6680e+00  2.1622e+00  1.3043e+00  8.6443e-01  1.8302e+00  1.5749e+00  1.4449e+00 -2.6468e+00 -5.5471e+00 -3.2045e-01 -1.4318e+00  1.3495e+00  3.6850e+00  2.8092e+00  2.9228e+01  1.9023e+00
  9.8000e+00  1.7365e+00  1.8699e+00  1.8734e+00  7.0402e+00  5.0606e+00  1.6236e+00  5.8617e+00  2.5936e+00  1.2718e+00  6.4172e+00  2.1276e+00  2.7490e+00  4.2851e+00  3.2057e+00  2.7326e+00  2.2208e+00  1.3274e+00  8.7467e-01  1.8875e+00  1.5746e+00  1.4441e+00 -3.2995e+00 -6.3292e+00 -6.5128e-01 -1.8721e+00  1.3280e+00  3.6428e+00  2.7763e+00  3.0116e+01  1.9918e+00
  9.9000e+00  1.7472e+00  1.8824e+00  2.0259e+00  7.3134e+00  5.3122e+00  1.7042e+00  6.0129e+00  2.6926e+00  1.0994e+00  6.5388e+00  2.1365e+00  2.7627e+00  4.4419e+00  3.3118e+00  2.8281e+00  2.3016e+00  1.3585e+00  9.0075e-01  1.9976e+00  1.5743e+00  1.4443e+00 -3.8268e+00 -6.9957e+00 -8.9917e-01 -2.2427e+00  1.3155e+00  3.6197e+00  2.7558e+00  3.0831e+01  2.0765e+00
  1.0000e+01  1.7335e+00  1.8647e+00  1.9015e+00  7.3238e+00  5.1258e+00  1.6144e+00  5.7471e+00  2.4407e+00  1.2166e+00  6.0997e+00  2.1213e+00  2.7409e+00  4.3022e+00  3.1491e+00  2.6080e+00  2.1126e+00  1.2490e+00  8.0562e-01  1.8859e+00  1.5636e+00  1.4237e+00 -3.6354e+00 -6.7519e+00 -7.9014e-01 -2.1353e+00  1.2516e+00  3.4517e+00  2.6088e+00  3.1808e+01  2.0428e+00
  1.0100e+01  1.7588e+00  1.8977e+00  2.3004e+00  7.6140e+00  5.6513e+00  1.8308e+00  6.2015e+00  2.7917e+00  8.7508e-01  6.6201e+00  2.1541e+00  2.7898e+00  4.7160e+00  3.4809e+00  2.9636e+00  2.4047e+00  1.3846e+00  9.0877e-01  2.2909e+00  1.5776e+00  1.4491e+00 -4.5012e+00 -7.9039e+00 -1.1566e+00 -2.7417e+00  1.2875e+00  3.5703e+00  2.7199e+00  3.1882e+01  2.1984e+00
  1.0200e+01  1.7785e+00  1.9221e+00  2.5414e+00  7.9025e+00  6.0081e+00  1.9644e+00  6.4572e+00  2.9944e+00  6.5321e-01  6.8785e+00  2.1694e+00  2.8125e+00  4.9253e+00  3.6439e+00  3.1284e+00  2.5431e+00  1.4462e+00  9.5304e-01  2.4468e+00  1.5817e+00  1.4566e+00 -5.2523e+00 -8.7704e+00 -1.4867e+00 -3.2121e+00  1.2805e+00  3.5690e+00  2.7287e+00  3.2802e+01  2.3495e+00
  1.0300e+01  1.7639e+00  1.9047e+00  2.4295e+00  7.8117e+00  5.8281e+00  1.8989e+00  6.2501e+00  2.7854e+00  7.4422e-01  6.4928e+00  2.1639e+00  2.8017e+00  4.7865e+00  3.5535e+00  2.9812e+00  2.4061e+00  1.3599e+00  8.6648e-01  2.5349e+00  1.5761e+00  1.4441e+00 -4.9461e+00 -8.4318e+00 -1.2908e+00 -3.0410e+00  1.2396e+00  3.4664e+00  2.6371e+00  3.3117e+01  2.2952e+00
  1.0400e+01  1.8068e+00  1.9611e+00  3.0001e+00  8.0859e+00  6.5044e+00  2.1880e+00  6.8161e+00  3.1706e+00  3.3934e-01  7.0901e+00  2.2030e+00  2.8572e+00  5.2317e+00  3.8973e+00  3.3810e+00  2.7429e+00  1.5176e+00  1.0009e+00  2.8377e+00  1.5884e+00  1.4682e+00 -6.1191e+00 -9.8199e+00 -1.7571e+00 -3.7540e+00  1.2602e+00  3.5440e+00  2.7231e+00  3.2192e+01  2.5685e+00
  1.0500e+01  1.7671e+00  1.9275e+00  2.8267e+00  7.0512e+00  6.0572e+00  2.1231e+00  6.5898e+00  2.8888e+00  6.2032e-01  6.6140e+00  2.2212e+00  2.8688e+00  4.9161e+00  3.8881e+00  3.3499e+00  2.6721e+00  1.4586e+00  9.2014e-01  3.3450e+00  1.5940e+00  1.4737e+00 -3.9234e+00 -7.7462e+00 -4.6998e-01 -2.5980e+00  1.2635e+00  3.5490e+00  2.7307e+00  2.3867e+01  2.2852e+00
  1.0600e+01  1.7252e+00  1.8979e+00  2.8477e+00  5.2508e+00  5.5897e+00  2.0853e+00  6.0917e+00  2.3593e+00  8.8296e-01  5.5928e+00  2.2626e+00  2.9099e+00  4.8960e+00  3.9364e+00  3.3936e+00  2.6522e+00  1.3613e+00  8.2107e-01  4.1770e+00  1.5967e+00  1.4737e+00 -1.3119e+00 -5.1966e+00  1.3620e+00 -1.1685e+00  1.1600e+00  3.3289e+00  2.5877e+00  5.3776e+00  1.8172e+00
  1.0700e+01  1.7998e+00  1.9841e+00  4.1880e+00  6.6120e+00  6.8409e+00  2.6317e+00  6.8613e+00  2.6065e+00 -1.7105e-01  5.7288e+00  2.3377e+00  3.0139e+00  5.8376e+00  4.4317e+00  3.7628e+00  2.9400e+00  1.4185e+00  8.3065e-01  4.9738e+00  1.6062e+00  1.4870e+00 -4.9392e+00 -9.6270e+00 -3.1225e-01 -3.6481e+00  1.0765e+00  3.1809e+00  2.4692e+00  1.8006e+00  2.2462e+00
  1.0800e+01  1.8178e+00  2.0005e+00  4.4604e+00  7.2949e+00  7.2241e+00  2.6835e+00  7.0279e+00  2.6773e+00 -2.1286e-01  5.8504e+00  2.3256e+00  3.0110e+00  6.1170e+00  4.4170e+00  3.7632e+00  2.9645e+00  1.4328e+00  8.4887e-01  4.6516e+00  1.5992e+00  1.4767e+00 -6.2377e+00 -1.0783e+01 -8.8227e-01 -4.2184e+00  1.0932e+00  3.2089e+00  2.4709e+00  2.6031e+00  2.6161e+00
  1.0900e+01  1.8539e+00  2.0370e+00  4.2699e+00  7.7456e+00  7.2765e+00  2.7008e+00  7.4285e+00  3.2621e+00 -2.2241e-01  7.1595e+00  2.2976e+00  2.9768e+00  5.9050e+00  4.4086e+00  3.8665e+00  3.1151e+00  1.6147e+00  1.0497e+00  3.9070e+00  1.6110e+00  1.5037e+00 -6.7659e+00 -1.1240e+01 -1.5446e+00 -4.4351e+00  1.2410e+00  3.5232e+00  2.7165e+00  2.8585e+00  2.7843e+00
  1.1000e+01  1.8378e+00  2.0302e+00  4.6587e+00  7.0734e+00  7.2132e+00  2.9070e+00  7.4396e+00  2.7650e+00 -4.7162e-01  6.4526e+00  2.3612e+00  3.0418e+00  5.9075e+00  4.6154e+00  3.9479e+00  3.1293e+00  1.5296e+00  9.3257e-01  4.9886e+00  1.6213e+00  1.5140e+00 -5.7784e+00 -1.0997e+01 -6.8670e-01 -4.2948e+00  1.1853e+00  3.4064e+00  2.6267e+00  6.6380e-01  2.5082e+00
